cycle,use_jester,stability,adaptive_score,rigidity,dissent,queen_pressure,jester_active,jester_pressure,jester_fatigue,jester_cooldown
1,False,0.958058,0.835371,0.45896,0.15404,0.077093,False,0.0,0,0
2,False,0.961373,0.835075,0.458922,0.154078,0.077186,False,0.0,0,0
3,False,0.957301,0.835436,0.458885,0.154115,0.07728,False,0.0,0,0
4,False,0.958688,0.835316,0.458849,0.154151,0.077373,False,0.0,0,0
5,False,0.956508,0.835502,0.458815,0.154185,0.077467,False,0.0,0,0
6,False,0.956978,0.835463,0.458783,0.154217,0.077561,False,0.0,0,0
7,False,0.957416,0.835426,0.458751,0.154249,0.077655,False,0.0,0,0
8,False,0.952204,0.835841,0.458721,0.154279,0.07775,False,0.0,0,0
9,False,0.951157,0.835918,0.458693,0.154307,0.077844,False,0.0,0,0
10,False,0.948058,0.836132,0.458665,0.154335,0.077939,False,0.0,0,0
11,False,0.955559,0.83558,0.458638,0.154362,0.078034,False,0.0,0,0
12,False,0.959879,0.835211,0.458613,0.154387,0.078129,False,0.0,0,0
13,False,0.960593,0.835146,0.458588,0.154412,0.078224,False,0.0,0,0
14,False,0.968513,0.834361,0.458565,0.154435,0.078319,False,0.0,0,0
15,False,0.972456,0.833924,0.458542,0.154458,0.078414,False,0.0,0,0
16,False,0.96663,0.834559,0.45852,0.15448,0.07851,False,0.0,0,0
17,False,0.957173,0.835446,0.4585,0.1545,0.078606,False,0.0,0,0
18,False,0.953881,0.835713,0.45848,0.15452,0.078702,False,0.0,0,0
19,False,0.959634,0.835233,0.45846,0.15454,0.078797,False,0.0,0,0
20,False,0.956608,0.835494,0.458442,0.154558,0.078894,False,0.0,0,0
21,False,0.954921,0.835631,0.458424,0.154576,0.07899,False,0.0,0,0
22,False,0.956394,0.835512,0.458407,0.154593,0.079086,False,0.0,0,0
23,False,0.96257,0.834962,0.458391,0.154609,0.079182,False,0.0,0,0
24,False,0.965156,0.834709,0.458375,0.154625,0.079279,False,0.0,0,0
25,False,0.962722,0.834948,0.45836,0.15464,0.079376,False,0.0,0,0
26,False,0.964365,0.834788,0.458346,0.154654,0.079472,False,0.0,0,0
27,False,0.965551,0.83467,0.458332,0.154668,0.079569,False,0.0,0,0
28,False,0.95809,0.835368,0.458319,0.154681,0.079666,False,0.0,0,0
29,False,0.959678,0.835229,0.458306,0.154694,0.079763,False,0.0,0,0
30,False,0.954897,0.835633,0.458294,0.154706,0.07986,False,0.0,0,0
31,False,0.960286,0.835174,0.458282,0.154718,0.079957,False,0.0,0,0
32,False,0.960442,0.83516,0.458271,0.154729,0.080055,False,0.0,0,0
33,False,0.957354,0.835431,0.45826,0.15474,0.080152,False,0.0,0,0
34,False,0.957885,0.835386,0.45825,0.15475,0.08025,False,0.0,0,0
35,False,0.956982,0.835462,0.45824,0.15476,0.080347,False,0.0,0,0
36,False,0.952408,0.835826,0.45823,0.15477,0.080445,False,0.0,0,0
37,False,0.953967,0.835707,0.458221,0.154779,0.080542,False,0.0,0,0
38,False,0.951334,0.835905,0.458212,0.154788,0.08064,False,0.0,0,0
39,False,0.952374,0.835828,0.458204,0.154796,0.080738,False,0.0,0,0
40,False,0.95034,0.835976,0.458195,0.154805,0.080836,False,0.0,0,0
41,False,0.948191,0.836123,0.458188,0.154812,0.080934,False,0.0,0,0
42,False,0.949281,0.83605,0.45818,0.15482,0.081032,False,0.0,0,0
43,False,0.956121,0.835534,0.458173,0.154827,0.08113,False,0.0,0,0
44,False,0.950324,0.835977,0.458166,0.154834,0.081228,False,0.0,0,0
45,False,0.949663,0.836023,0.458159,0.154841,0.081326,False,0.0,0,0
46,False,0.954735,0.835646,0.458153,0.154847,0.081424,False,0.0,0,0
47,False,0.947229,0.836186,0.458147,0.154853,0.081522,False,0.0,0,0
48,False,0.948606,0.836096,0.458141,0.154859,0.081621,False,0.0,0,0
49,False,0.958771,0.835309,0.458135,0.154865,0.081719,False,0.0,0,0
50,False,0.957094,0.835453,0.45813,0.15487,0.081818,False,0.0,0,0
51,False,0.958761,0.83531,0.458125,0.154875,0.081916,False,0.0,0,0
52,False,0.951153,0.835918,0.45812,0.15488,0.082015,False,0.0,0,0
53,False,0.955892,0.835553,0.458115,0.154885,0.082113,False,0.0,0,0
54,False,0.953702,0.835727,0.45811,0.15489,0.082212,False,0.0,0,0
55,False,0.958492,0.835333,0.458106,0.154894,0.08231,False,0.0,0,0
56,False,0.95951,0.835244,0.458102,0.154898,0.082409,False,0.0,0,0
57,False,0.953559,0.835738,0.458098,0.154902,0.082508,False,0.0,0,0
58,False,0.950716,0.835949,0.458094,0.154906,0.082607,False,0.0,0,0
59,False,0.950584,0.835959,0.45809,0.15491,0.082705,False,0.0,0,0
60,False,0.95126,0.83591,0.458086,0.154914,0.082804,False,0.0,0,0
61,False,0.947092,0.836195,0.458083,0.154917,0.082903,False,0.0,0,0
62,False,0.942684,0.836459,0.45808,0.15492,0.083002,False,0.0,0,0
63,False,0.942354,0.836477,0.458076,0.154924,0.083101,False,0.0,0,0
64,False,0.949029,0.836067,0.458073,0.154927,0.0832,False,0.0,0,0
65,False,0.944342,0.836364,0.45807,0.15493,0.083299,False,0.0,0,0
66,False,0.939537,0.836623,0.458068,0.154932,0.083398,False,0.0,0,0
67,False,0.94144,0.836526,0.458065,0.154935,0.083497,False,0.0,0,0
68,False,0.94795,0.836139,0.458062,0.154938,0.083596,False,0.0,0,0
69,False,0.9463,0.836245,0.45806,0.15494,0.083695,False,0.0,0,0
70,False,0.952536,0.835816,0.458057,0.154943,0.083794,False,0.0,0,0
71,False,0.94678,0.836215,0.458055,0.154945,0.083894,False,0.0,0,0
72,False,0.950167,0.835988,0.458053,0.154947,0.083993,False,0.0,0,0
73,False,0.953756,0.835723,0.458051,0.154949,0.084092,False,0.0,0,0
74,False,0.946337,0.836243,0.458049,0.154951,0.084191,False,0.0,0,0
75,False,0.951867,0.835866,0.458047,0.154953,0.08429,False,0.0,0,0
76,False,0.942489,0.836469,0.458045,0.154955,0.08439,False,0.0,0,0
77,False,0.941995,0.836496,0.458043,0.154957,0.084489,False,0.0,0,0
78,False,0.934011,0.836864,0.458041,0.154959,0.084588,False,0.0,0,0
79,False,0.933444,0.836885,0.45804,0.15496,0.084688,False,0.0,0,0
80,False,0.93677,0.836751,0.458038,0.154962,0.084787,False,0.0,0,0
81,False,0.943296,0.836424,0.458037,0.154963,0.084886,False,0.0,0,0
82,False,0.949278,0.83605,0.458035,0.154965,0.084986,False,0.0,0,0
83,False,0.95191,0.835863,0.458034,0.154966,0.085085,False,0.0,0,0
84,False,0.956112,0.835535,0.458032,0.154968,0.085185,False,0.0,0,0
85,False,0.951509,0.835892,0.458031,0.154969,0.085284,False,0.0,0,0
86,False,0.959828,0.835215,0.45803,0.15497,0.085384,False,0.0,0,0
87,False,0.959431,0.835251,0.458029,0.154971,0.085483,False,0.0,0,0
88,False,0.958434,0.835338,0.458028,0.154972,0.085583,False,0.0,0,0
89,False,0.951795,0.835871,0.458026,0.154974,0.085682,False,0.0,0,0
90,False,0.960935,0.835115,0.458025,0.154975,0.085782,False,0.0,0,0
91,False,0.957375,0.835429,0.458024,0.154976,0.085881,False,0.0,0,0
92,False,0.958832,0.835304,0.458023,0.154977,0.085981,False,0.0,0,0
93,False,0.96048,0.835157,0.458022,0.154978,0.08608,False,0.0,0,0
94,False,0.949799,0.836014,0.458022,0.154978,0.08618,False,0.0,0,0
95,False,0.949303,0.836048,0.458021,0.154979,0.08628,False,0.0,0,0
96,False,0.94343,0.836417,0.45802,0.15498,0.086379,False,0.0,0,0
97,False,0.946424,0.836238,0.458019,0.154981,0.086479,False,0.0,0,0
98,False,0.94504,0.836323,0.458018,0.154982,0.086578,False,0.0,0,0
99,False,0.943483,0.836414,0.458018,0.154982,0.086678,False,0.0,0,0
100,False,0.937291,0.836728,0.458017,0.154983,0.086778,False,0.0,0,0
101,False,0.942601,0.836463,0.458016,0.154984,0.086877,False,0.0,0,0
102,False,0.941724,0.836511,0.458016,0.154984,0.086977,False,0.0,0,0
103,False,0.944722,0.836342,0.458015,0.154985,0.087077,False,0.0,0,0
104,False,0.945353,0.836304,0.458014,0.154986,0.087176,False,0.0,0,0
105,False,0.939846,0.836608,0.458014,0.154986,0.087276,False,0.0,0,0
106,False,0.931266,0.83696,0.458013,0.154987,0.087376,False,0.0,0,0
107,False,0.93526,0.836815,0.458013,0.154987,0.087476,False,0.0,0,0
108,False,0.945656,0.836285,0.458012,0.154988,0.087575,False,0.0,0,0
109,False,0.94229,0.83648,0.458012,0.154988,0.087675,False,0.0,0,0
110,False,0.951519,0.835891,0.458011,0.154989,0.087775,False,0.0,0,0
111,False,0.95949,0.835246,0.458011,0.154989,0.087875,False,0.0,0,0
112,False,0.960188,0.835183,0.45801,0.15499,0.087974,False,0.0,0,0
113,False,0.959156,0.835275,0.45801,0.15499,0.088074,False,0.0,0,0
114,False,0.965108,0.834714,0.45801,0.15499,0.088174,False,0.0,0,0
115,False,0.95407,0.835699,0.458009,0.154991,0.088274,False,0.0,0,0
116,False,0.947002,0.836201,0.458009,0.154991,0.088373,False,0.0,0,0
117,False,0.94845,0.836106,0.458008,0.154992,0.088473,False,0.0,0,0
118,False,0.952865,0.835791,0.458008,0.154992,0.088573,False,0.0,0,0
119,False,0.963019,0.834919,0.458008,0.154992,0.088673,False,0.0,0,0
120,False,0.961376,0.835074,0.458007,0.154993,0.088773,False,0.0,0,0
121,False,0.960816,0.835126,0.458007,0.154993,0.088873,False,0.0,0,0
122,False,0.951007,0.835928,0.458007,0.154993,0.088972,False,0.0,0,0
123,False,0.952394,0.835827,0.458007,0.154993,0.089072,False,0.0,0,0
124,False,0.944145,0.836376,0.458006,0.154994,0.089172,False,0.0,0,0
125,False,0.943887,0.836391,0.458006,0.154994,0.089272,False,0.0,0,0
126,False,0.933319,0.836889,0.458006,0.154994,0.089372,False,0.0,0,0
127,False,0.932537,0.836917,0.458006,0.154994,0.089472,False,0.0,0,0
128,False,0.935257,0.836815,0.458005,0.154995,0.089571,False,0.0,0,0
129,False,0.944176,0.836374,0.458005,0.154995,0.089671,False,0.0,0,0
130,False,0.947973,0.836138,0.458005,0.154995,0.089771,False,0.0,0,0
131,False,0.952049,0.835852,0.458005,0.154995,0.089871,False,0.0,0,0
132,False,0.953328,0.835756,0.458005,0.154995,0.089971,False,0.0,0,0
133,False,0.947456,0.836172,0.458004,0.154996,0.090071,False,0.0,0,0
134,False,0.943659,0.836404,0.458004,0.154996,0.090171,False,0.0,0,0
135,False,0.949922,0.836005,0.458004,0.154996,0.09027,False,0.0,0,0
136,False,0.943259,0.836426,0.458004,0.154996,0.09037,False,0.0,0,0
137,False,0.937837,0.836703,0.458004,0.154996,0.09047,False,0.0,0,0
138,False,0.936224,0.836775,0.458004,0.154996,0.09057,False,0.0,0,0
139,False,0.936541,0.836761,0.458003,0.154997,0.09067,False,0.0,0,0
140,False,0.941483,0.836524,0.458003,0.154997,0.09077,False,0.0,0,0
141,False,0.933465,0.836884,0.458003,0.154997,0.09087,False,0.0,0,0
142,False,0.942858,0.836449,0.458003,0.154997,0.09097,False,0.0,0,0
143,False,0.936325,0.83677,0.458003,0.154997,0.09107,False,0.0,0,0
144,False,0.937584,0.836715,0.458003,0.154997,0.09117,False,0.0,0,0
145,False,0.946541,0.83623,0.458003,0.154997,0.091269,False,0.0,0,0
146,False,0.943542,0.83641,0.458003,0.154997,0.091369,False,0.0,0,0
147,False,0.944119,0.836377,0.458002,0.154998,0.091469,False,0.0,0,0
148,False,0.939445,0.836627,0.458002,0.154998,0.091569,False,0.0,0,0
149,False,0.937916,0.8367,0.458002,0.154998,0.091669,False,0.0,0,0
150,False,0.939881,0.836606,0.458002,0.154998,0.091769,False,0.0,0,0
151,False,0.942804,0.836452,0.458002,0.154998,0.091869,False,0.0,0,0
152,False,0.938313,0.836681,0.458002,0.154998,0.091969,False,0.0,0,0
153,False,0.942021,0.836495,0.458002,0.154998,0.092069,False,0.0,0,0
154,False,0.935324,0.836812,0.458002,0.154998,0.092169,False,0.0,0,0
155,False,0.939639,0.836618,0.458002,0.154998,0.092269,False,0.0,0,0
156,False,0.93785,0.836703,0.458002,0.154998,0.092369,False,0.0,0,0
157,False,0.950747,0.835947,0.458002,0.154998,0.092469,False,0.0,0,0
158,False,0.955316,0.8356,0.458002,0.154998,0.092569,False,0.0,0,0
159,False,0.955315,0.8356,0.458002,0.154998,0.092669,False,0.0,0,0
160,False,0.962537,0.834965,0.458001,0.154999,0.092768,False,0.0,0,0
161,False,0.972819,0.833882,0.458001,0.154999,0.092868,False,0.0,0,0
162,False,0.967437,0.834475,0.458001,0.154999,0.092968,False,0.0,0,0
163,False,0.963686,0.834855,0.458001,0.154999,0.093068,False,0.0,0,0
164,False,0.968218,0.834393,0.458001,0.154999,0.093168,False,0.0,0,0
165,False,0.968746,0.834336,0.458001,0.154999,0.093268,False,0.0,0,0
166,False,0.97662,0.833428,0.458001,0.154999,0.093368,False,0.0,0,0
167,False,0.980309,0.83296,0.458001,0.154999,0.093468,False,0.0,0,0
168,False,0.98102,0.832866,0.458001,0.154999,0.093568,False,0.0,0,0
169,False,0.988048,0.831889,0.458001,0.154999,0.093668,False,0.0,0,0
170,False,0.992642,0.831197,0.458001,0.154999,0.093768,False,0.0,0,0
171,False,0.980893,0.832883,0.458001,0.154999,0.093868,False,0.0,0,0
172,False,0.984889,0.83234,0.458001,0.154999,0.093968,False,0.0,0,0
173,False,0.986515,0.832111,0.458001,0.154999,0.094068,False,0.0,0,0
174,False,0.981866,0.832754,0.458001,0.154999,0.094168,False,0.0,0,0
175,False,0.98292,0.832612,0.458001,0.154999,0.094268,False,0.0,0,0
176,False,0.974589,0.833674,0.458001,0.154999,0.094368,False,0.0,0,0
177,False,0.9795,0.833065,0.458001,0.154999,0.094468,False,0.0,0,0
178,False,0.986727,0.83208,0.458001,0.154999,0.094568,False,0.0,0,0
179,False,0.991394,0.831389,0.458001,0.154999,0.094668,False,0.0,0,0
180,False,0.992095,0.831281,0.458001,0.154999,0.094768,False,0.0,0,0
181,False,0.988263,0.831857,0.458001,0.154999,0.094868,False,0.0,0,0
182,False,0.993884,0.831002,0.458001,0.154999,0.094968,False,0.0,0,0
183,False,0.988121,0.831878,0.458001,0.154999,0.095068,False,0.0,0,0
184,False,0.982911,0.832613,0.458001,0.154999,0.095168,False,0.0,0,0
185,False,0.978933,0.833138,0.458001,0.154999,0.095267,False,0.0,0,0
186,False,0.979278,0.833093,0.458001,0.154999,0.095367,False,0.0,0,0
187,False,0.978926,0.833138,0.458,0.155,0.095467,False,0.0,0,0
188,False,0.978671,0.833171,0.458,0.155,0.095567,False,0.0,0,0
189,False,0.980809,0.832894,0.458,0.155,0.095667,False,0.0,0,0
190,False,0.978991,0.83313,0.458,0.155,0.095767,False,0.0,0,0
191,False,0.977886,0.83327,0.458,0.155,0.095867,False,0.0,0,0
192,False,0.981103,0.832855,0.458,0.155,0.095967,False,0.0,0,0
193,False,0.981924,0.832746,0.458,0.155,0.096067,False,0.0,0,0
194,False,0.984231,0.832432,0.458,0.155,0.096167,False,0.0,0,0
195,False,0.970661,0.834127,0.458,0.155,0.096267,False,0.0,0,0
196,False,0.981069,0.83286,0.458,0.155,0.096367,False,0.0,0,0
197,False,0.980551,0.832928,0.458,0.155,0.096467,False,0.0,0,0
198,False,0.978444,0.8332,0.458,0.155,0.096567,False,0.0,0,0
199,False,0.976971,0.833385,0.458,0.155,0.096667,False,0.0,0,0
200,False,0.984188,0.832438,0.458,0.155,0.096767,False,0.0,0,0
201,False,0.98593,0.832194,0.458,0.155,0.096864,False,0.0,0,0
202,False,0.988583,0.831811,0.458,0.155,0.096958,False,0.0,0,0
203,False,0.985024,0.832322,0.458,0.155,0.09705,False,0.0,0,0
204,False,0.981849,0.832756,0.458,0.155,0.097138,False,0.0,0,0
205,False,0.982613,0.832654,0.458,0.155,0.097224,False,0.0,0,0
206,False,0.977333,0.83334,0.458,0.155,0.097307,False,0.0,0,0
207,False,0.972243,0.833948,0.458,0.155,0.097388,False,0.0,0,0
208,False,0.966073,0.834617,0.458,0.155,0.097466,False,0.0,0,0
209,False,0.960719,0.835135,0.458,0.155,0.097542,False,0.0,0,0
210,False,0.962231,0.834994,0.458,0.155,0.097616,False,0.0,0,0
211,False,0.960231,0.835179,0.458,0.155,0.097688,False,0.0,0,0
212,False,0.959111,0.835279,0.458,0.155,0.097757,False,0.0,0,0
213,False,0.961861,0.835029,0.458,0.155,0.097824,False,0.0,0,0
214,False,0.966666,0.834556,0.458,0.155,0.09789,False,0.0,0,0
215,False,0.963384,0.834884,0.458,0.155,0.097953,False,0.0,0,0
216,False,0.966087,0.834615,0.458,0.155,0.098014,False,0.0,0,0
217,False,0.966824,0.834539,0.458,0.155,0.098074,False,0.0,0,0
218,False,0.962169,0.835,0.458,0.155,0.098132,False,0.0,0,0
219,False,0.96048,0.835157,0.458,0.155,0.098188,False,0.0,0,0
220,False,0.966706,0.834552,0.458,0.155,0.098242,False,0.0,0,0
