cycle,use_mercury,stability,adaptive_score,rigidity,dissent,identity_drift,light_power,shadow_power,mercury_power,bridge_tension,mercury_motion,alliance_shift,emergence,jester_pulse,judge_closure
1,False,0.905338,0.837132,0.384016,0.250049,0.013196,0.510124,0.506416,0.0,0.043519,0.0,0.0,0.9032,0.2,0
2,False,0.929956,0.837001,0.378253,0.250045,0.01413,0.511733,0.506426,0.0,0.038169,0.0,0.0,0.906272,0.2,0
3,False,0.949175,0.836057,0.372703,0.250019,0.014077,0.509209,0.530917,0.0,0.035865,0.0,0.0,0.909221,0.2,0
4,False,0.969196,0.834288,0.367357,0.249948,0.013961,0.514574,0.517537,0.0,0.031259,0.0,0.0,0.912052,0.0,0
5,False,0.99074,0.831488,0.36221,0.249859,0.015216,0.523301,0.507057,0.0,0.029157,0.0,0.0,0.91477,0.0,0
6,False,1,0.83,0.357252,0.249733,0.014382,0.519628,0.520434,0.0,0.025187,0.0,0.0,0.917379,0.0,0
7,False,1,0.83,0.352478,0.24958,0.013053,0.517588,0.514054,0.0,0.022156,0.0,0.0,0.919884,0.0,0
8,False,1,0.83,0.34788,0.249428,0.011688,0.524677,0.505225,0.0,0.021777,0.0,0.0,0.922289,0.0,0
9,False,1,0.83,0.343453,0.249287,0.009996,0.521702,0.494713,0.0,0.022507,0.0,0.0,0.924597,0.0,0
10,False,1,0.83,0.339189,0.249132,0.012832,0.529002,0.518971,0.0,0.02076,0.0,0.0,0.926813,0.0,0
11,False,1,0.83,0.335083,0.249,0.014131,0.532213,0.497851,0.0,0.022665,0.0,0.0,0.928941,0.0,0
12,False,1,0.83,0.331129,0.248878,0.015983,0.532784,0.504563,0.0,0.023443,0.0,0.0,0.930983,0.0,0
13,False,1,0.83,0.327321,0.248779,0.015319,0.532218,0.495023,0.0,0.025368,0.0,0.0,0.932944,0.0,0
14,False,1,0.83,0.323655,0.248704,0.016933,0.544726,0.503288,0.0,0.027618,0.0,0.0,0.934826,0.0,0
15,False,1,0.83,0.320124,0.248653,0.016051,0.53905,0.494914,0.0,0.02993,0.0,0.0,0.936633,0.0,0
16,False,1,0.83,0.316724,0.248618,0.015065,0.528069,0.487077,0.0,0.031479,0.0,0.0,0.938368,0.0,0
17,False,1,0.83,0.31345,0.248614,0.017114,0.547078,0.494385,0.0,0.034449,0.0,0.0,0.940033,0.0,0
18,False,1,0.83,0.310297,0.248628,0.01475,0.542547,0.494689,0.0,0.036326,0.0,0.0,0.941632,0.0,0
19,False,1,0.83,0.307262,0.248658,0.013868,0.54023,0.491901,0.0,0.038006,0.0,0.0,0.943166,0.0,0
20,False,1,0.83,0.304339,0.248727,0.009161,0.552339,0.485196,0.0,0.042086,0.0,0.0,0.94464,0.0,0
21,False,1,0.83,0.301524,0.248801,0.007695,0.53905,0.491452,0.0,0.042857,0.0,0.0,0.946054,0.0,0
22,False,1,0.83,0.298814,0.2489,0.005834,0.545059,0.483211,0.0,0.045516,0.0,0.0,0.947412,0.0,0
23,False,1,0.83,0.296204,0.248991,0.009096,0.535428,0.493736,0.0,0.044981,0.0,0.0,0.948716,0.2,0
24,False,1,0.83,0.293691,0.249103,0.011087,0.540912,0.478813,0.0,0.047377,0.0,0.0,0.949967,0.2,0
25,False,1,0.83,0.291272,0.249252,0.010135,0.550491,0.474329,0.0,0.051407,0.0,0.0,0.951168,0.2,0
26,False,1,0.83,0.288942,0.249431,0.009761,0.547433,0.471218,0.0,0.05488,0.0,0.0,0.952322,0.2,0
27,False,1,0.83,0.286699,0.249623,0.012045,0.551983,0.483565,0.0,0.056776,0.0,0.0,0.953429,0.0,0
28,False,1,0.83,0.284539,0.249809,0.013393,0.543256,0.488392,0.0,0.056508,0.0,0.0,0.954492,0.0,0
29,False,1,0.83,0.28246,0.250019,0.014176,0.5402,0.462084,0.0,0.059533,0.0,0.0,0.955512,0.0,0
30,False,1,0.83,0.280458,0.250241,0.013175,0.537545,0.465569,0.0,0.061275,0.0,0.0,0.956491,0.0,0
31,False,1,0.83,0.27853,0.250454,0.009302,0.536071,0.477587,0.0,0.060884,0.0,0.0,0.957432,0.0,0
32,False,1,0.83,0.276674,0.250659,0.008837,0.537972,0.478292,0.0,0.060716,0.0,0.0,0.958334,0.0,0
33,False,1,0.83,0.274887,0.250864,0.006912,0.542303,0.478097,0.0,0.061204,0.0,0.0,0.959201,0.0,0
34,False,1,0.83,0.273167,0.251064,0.006078,0.539928,0.479131,0.0,0.061147,0.0,0.0,0.960033,0.0,0
35,False,1,0.83,0.27151,0.251275,0.005698,0.539109,0.466243,0.0,0.062788,0.0,0.0,0.960832,0.0,0
36,False,1,0.83,0.269915,0.251489,0.005449,0.542233,0.472483,0.0,0.063763,0.0,0.0,0.961598,0.0,0
37,False,1,0.83,0.26838,0.251717,0.005159,0.548113,0.470828,0.0,0.065656,0.0,0.0,0.962335,0.0,0
38,False,1,0.83,0.266902,0.25193,0.004577,0.539272,0.480674,0.0,0.064668,0.0,0.0,0.963041,0.0,0
39,False,1,0.83,0.265479,0.252125,0.003587,0.524669,0.46917,0.0,0.063384,0.0,0.0,0.963719,0.0,0
40,False,1,0.83,0.264108,0.252293,0.005448,0.526975,0.479667,0.0,0.061133,0.0,0.0,0.964371,0.0,0
41,False,1,0.83,0.262789,0.252474,0.006537,0.531991,0.458273,0.0,0.062895,0.0,0.0,0.964996,0.0,0
42,False,1,0.83,0.261519,0.252629,0.005841,0.521163,0.473225,0.0,0.060801,0.0,0.0,0.965596,0.0,0
43,False,1,0.83,0.260297,0.252768,0.007318,0.519083,0.468046,0.0,0.059434,0.0,0.0,0.966172,0.0,0
44,False,1,0.83,0.25912,0.25291,0.006003,0.53164,0.467614,0.0,0.060077,0.0,0.0,0.966725,0.0,0
45,False,1,0.83,0.257987,0.253033,0.007862,0.520113,0.470845,0.0,0.058564,0.0,0.0,0.967256,0.0,0
46,False,1,0.83,0.256896,0.253166,0.007935,0.525874,0.457722,0.0,0.059906,0.0,0.0,0.967766,0.2,0
47,False,1,0.83,0.255846,0.253261,0.008077,0.511471,0.477328,0.0,0.056299,0.0,0.0,0.968255,0.2,0
48,False,1,0.83,0.254835,0.253316,0.008606,0.515629,0.48685,0.0,0.052446,0.0,0.0,0.968725,0.2,0
49,False,1,0.83,0.253861,0.253341,0.010897,0.511913,0.480401,0.0,0.049515,0.0,0.0,0.969176,0.2,0
50,False,1,0.83,0.252924,0.253363,0.010177,0.515984,0.46824,0.0,0.049268,0.0,0.0,0.969609,0.0,0
51,False,1,0.83,0.252023,0.25334,0.009432,0.500581,0.483339,0.0,0.044784,0.0,0.0,0.970025,0.0,0
52,False,1,0.83,0.251154,0.253306,0.009021,0.512074,0.47603,0.0,0.04356,0.0,0.0,0.970424,0.0,0
53,False,1,0.83,0.250318,0.253252,0.009684,0.501245,0.473553,0.0,0.041339,0.0,0.0,0.970807,0.0,0
54,False,1,0.83,0.249514,0.253186,0.006517,0.505748,0.473419,0.0,0.040077,0.0,0.0,0.971175,0.0,0
55,False,1,0.83,0.248739,0.253104,0.005771,0.511193,0.484859,0.0,0.038153,0.0,0.0,0.971528,0.0,0
56,False,1,0.83,0.247994,0.253004,0.004701,0.502814,0.478623,0.0,0.036199,0.0,0.0,0.971866,0.0,0
57,False,1,0.83,0.247276,0.252894,0.005492,0.502006,0.47523,0.0,0.03488,0.0,0.0,0.972192,0.0,0
58,False,1,0.83,0.246585,0.252762,0.008808,0.493002,0.476481,0.0,0.032309,0.0,0.0,0.972504,0.0,0
59,False,1,0.83,0.24592,0.252599,0.006123,0.488067,0.480028,0.0,0.028911,0.0,0.0,0.972804,0.0,0
60,False,1,0.83,0.24528,0.252417,0.003575,0.486405,0.475549,0.0,0.026384,0.0,0.0,0.973092,0.0,0
61,False,1,0.83,0.248664,0.252226,0.004095,0.49915,0.481665,0.0,0.025138,0.0,0.0,0.973368,0.0,1
62,False,1,0.83,0.251911,0.252014,0.003072,0.48908,0.494696,0.0,0.022405,0.0,0.0,0.973633,0.0,1
63,False,1,0.83,0.255026,0.251789,0.003225,0.491173,0.482178,0.0,0.020527,0.0,0.0,0.973888,0.0,1
64,False,1,0.83,0.258015,0.251542,0.000371,0.491376,0.491541,0.0,0.017677,0.0,0.0,0.974133,0.0,1
65,False,1,0.83,0.260884,0.251291,-0.000941,0.494693,0.484061,0.0,0.01669,0.0,0.0,0.974367,0.0,1
66,False,1,0.83,0.263636,0.251042,-0.003007,0.484756,0.498436,0.0,0.016269,0.0,0.0,0.974593,0.0,1
67,False,1,0.83,0.266277,0.2508,-0.006657,0.471492,0.487921,0.0,0.016292,0.0,0.0,0.974809,0.0,1
68,False,1,0.83,0.268811,0.250573,-0.006052,0.477703,0.500636,0.0,0.017221,0.0,0.0,0.975017,0.0,1
69,False,1,0.83,0.271243,0.250376,-0.006058,0.472873,0.508351,0.0,0.019777,0.0,0.0,0.975216,0.2,1
70,False,1,0.83,0.273576,0.250184,-0.006293,0.482006,0.501174,0.0,0.019692,0.0,0.0,0.975407,0.2,1
71,False,1,0.83,0.275814,0.249995,-0.00482,0.488896,0.507535,0.0,0.019545,0.0,0.0,0.975591,0.2,1
72,False,1,0.83,0.277962,0.249838,-0.002992,0.459654,0.499238,0.0,0.02235,0.0,0.0,0.975767,0.2,1
73,False,1,0.83,0.280023,0.249685,-0.00351,0.481533,0.504112,0.0,0.022382,0.0,0.0,0.975937,0.0,1
74,False,1,0.83,0.282001,0.249553,-0.004349,0.475243,0.50979,0.0,0.024085,0.0,0.0,0.976099,0.0,1
75,False,1,0.83,0.283899,0.249421,-0.00547,0.477418,0.499304,0.0,0.023777,0.0,0.0,0.976255,0.0,1
76,False,1,0.83,0.285719,0.249321,-0.005384,0.474672,0.519727,0.0,0.026756,0.0,0.0,0.976405,0.0,1
77,False,1,0.83,0.287467,0.249247,-0.005835,0.470532,0.513915,0.0,0.029084,0.0,0.0,0.976549,0.0,1
78,False,1,0.83,0.289143,0.249192,-0.007666,0.487298,0.529319,0.0,0.030895,0.0,0.0,0.976687,0.0,1
79,False,1,0.83,0.290752,0.24915,-0.009459,0.469247,0.508452,0.0,0.032059,0.0,0.0,0.976819,0.0,1
80,False,1,0.83,0.292295,0.249139,-0.008987,0.470974,0.525481,0.0,0.035201,0.0,0.0,0.976947,0.0,1
81,False,1,0.83,0.293776,0.24914,-0.009559,0.47099,0.51425,0.0,0.036329,0.0,0.0,0.977069,0.0,1
82,False,1,0.83,0.295197,0.249176,-0.010495,0.471011,0.533549,0.0,0.039999,0.0,0.0,0.977186,0.0,1
83,False,1,0.83,0.296561,0.249254,-0.011283,0.471161,0.541896,0.0,0.044302,0.0,0.0,0.977299,0.0,1
84,False,1,0.83,0.297869,0.249327,-0.012003,0.477798,0.520489,0.0,0.044076,0.0,0.0,0.977407,0.0,1
85,False,1,0.83,0.299124,0.249431,-0.013454,0.467422,0.534833,0.0,0.047343,0.0,0.0,0.97751,0.0,1
86,False,1,0.83,0.300329,0.249538,-0.013024,0.481075,0.53335,0.0,0.048034,0.0,0.0,0.97761,0.0,1
87,False,1,0.83,0.301485,0.24965,-0.011082,0.477741,0.530976,0.0,0.048762,0.0,0.0,0.977706,0.0,1
88,False,1,0.83,0.302594,0.249749,-0.00871,0.485254,0.526108,0.0,0.047655,0.0,0.0,0.977797,0.0,1
89,False,1,0.83,0.303658,0.249838,-0.009274,0.490025,0.532644,0.0,0.04695,0.0,0.0,0.977885,0.0,1
90,False,1,0.83,0.304679,0.249933,-0.009127,0.48382,0.537075,0.0,0.047832,0.0,0.0,0.97797,0.0,1
91,False,1,0.83,0.305659,0.250025,-0.01088,0.494426,0.541392,0.0,0.047711,0.0,0.0,0.978051,0.0,1
92,False,1,0.83,0.306599,0.250141,-0.008852,0.480708,0.548127,0.0,0.05047,0.0,0.0,0.978129,0.2,1
93,False,1,0.83,0.307501,0.25025,-0.007197,0.493718,0.540737,0.0,0.049987,0.0,0.0,0.978204,0.2,1
94,False,1,0.83,0.308366,0.250354,-0.009609,0.494822,0.542821,0.0,0.049709,0.0,0.0,0.978276,0.2,1
95,False,1,0.83,0.309197,0.250464,-0.009534,0.491265,0.548194,0.0,0.05072,0.0,0.0,0.978345,0.2,1
96,False,1,0.83,0.309994,0.250559,-0.010434,0.496993,0.537764,0.0,0.049327,0.0,0.0,0.978411,0.0,1
97,False,1,0.83,0.310758,0.250654,-0.011924,0.486949,0.538885,0.0,0.049692,0.0,0.0,0.978475,0.0,1
98,False,1,0.83,0.311492,0.25076,-0.010689,0.496275,0.555543,0.0,0.051033,0.0,0.0,0.978536,0.0,1
99,False,1,0.83,0.312196,0.250842,-0.010849,0.506406,0.541443,0.0,0.048793,0.0,0.0,0.978594,0.0,1
100,False,1,0.83,0.312871,0.250907,-0.008275,0.512081,0.549716,0.0,0.047231,0.0,0.0,0.97865,0.0,1
101,False,1,0.83,0.313519,0.250972,-0.00902,0.493692,0.54254,0.0,0.047458,0.0,0.0,0.978704,0.0,1
102,False,1,0.83,0.314141,0.251028,-0.008934,0.503091,0.545286,0.0,0.046721,0.0,0.0,0.978756,0.0,1
103,False,1,0.83,0.314738,0.251047,-0.008499,0.515075,0.535665,0.0,0.043063,0.0,0.0,0.978806,0.0,1
104,False,1,0.83,0.315311,0.251046,-0.005267,0.524742,0.553466,0.0,0.041055,0.0,0.0,0.978854,0.0,1
105,False,1,0.83,0.31586,0.251036,-0.003558,0.518325,0.552965,0.0,0.040157,0.0,0.0,0.9789,0.0,1
106,False,1,0.83,0.316387,0.251013,-0.004931,0.513903,0.543487,0.0,0.038677,0.0,0.0,0.978944,0.0,1
107,False,1,0.83,0.316893,0.250977,-0.004673,0.520727,0.550311,0.0,0.037404,0.0,0.0,0.978986,0.0,1
108,False,1,0.83,0.317378,0.250917,-0.005375,0.53993,0.558593,0.0,0.03478,0.0,0.0,0.979026,0.0,1
109,False,1,0.83,0.317844,0.250827,-0.005804,0.533974,0.546196,0.0,0.031622,0.0,0.0,0.979065,0.0,1
110,False,1,0.83,0.318291,0.250714,-0.007339,0.524578,0.537127,0.0,0.028952,0.0,0.0,0.979103,0.0,1
111,False,1,0.83,0.318719,0.250593,-0.006644,0.52926,0.550751,0.0,0.027907,0.0,0.0,0.979139,0.0,1
112,False,1,0.83,0.319131,0.250454,-0.00714,0.530674,0.543371,0.0,0.025778,0.0,0.0,0.979173,0.0,1
113,False,1,0.83,0.319526,0.250335,-0.008341,0.520786,0.557782,0.0,0.027348,0.0,0.0,0.979206,0.0,1
114,False,1,0.83,0.319904,0.250226,-0.005241,0.520173,0.553449,0.0,0.028178,0.0,0.0,0.979238,0.0,1
115,False,1,0.83,0.320268,0.250086,-0.007234,0.539483,0.542466,0.0,0.024651,0.0,0.0,0.979268,0.2,1
116,False,1,0.83,0.320616,0.249928,-0.009298,0.540709,0.550033,0.0,0.022505,0.0,0.0,0.979298,0.2,1
117,False,1,0.83,0.320951,0.249765,-0.008279,0.535732,0.551527,0.0,0.021566,0.0,0.0,0.979326,0.2,1
118,False,1,0.83,0.321272,0.249603,-0.007743,0.533266,0.552077,0.0,0.02118,0.0,0.0,0.979353,0.2,1
119,False,1,0.83,0.32158,0.249434,-0.008313,0.537439,0.551561,0.0,0.020192,0.0,0.0,0.979379,0.0,1
120,False,1,0.83,0.321876,0.249253,-0.01119,0.543597,0.536047,0.0,0.018422,0.0,0.0,0.979403,0.0,1
121,False,1,0.83,0.322159,0.249052,-0.010374,0.541815,0.542284,0.0,0.015909,0.0,0.0,0.979427,0.0,1
122,False,1,0.83,0.322431,0.248834,-0.009818,0.544119,0.544227,0.0,0.013697,0.0,0.0,0.97945,0.0,1
123,False,1,0.83,0.322693,0.248606,-0.013311,0.5457,0.543581,0.0,0.012076,0.0,0.0,0.979472,0.0,1
124,False,1,0.83,0.322943,0.248369,-0.01344,0.540014,0.541051,0.0,0.01053,0.0,0.0,0.979493,0.0,1
125,False,1,0.83,0.323183,0.248155,-0.012024,0.559639,0.535608,0.0,0.01242,0.0,0.0,0.979514,0.0,1
126,False,1,0.83,0.323414,0.247938,-0.013999,0.53842,0.543767,0.0,0.01143,0.0,0.0,0.979533,0.0,1
127,False,1,0.83,0.323635,0.247722,-0.013074,0.552096,0.543237,0.0,0.01107,0.0,0.0,0.979552,0.0,1
128,False,1,0.83,0.323848,0.247526,-0.01311,0.545715,0.524278,0.0,0.012522,0.0,0.0,0.97957,0.0,1
129,False,1,0.83,0.324052,0.247321,-0.01145,0.53887,0.540839,0.0,0.011044,0.0,0.0,0.979587,0.0,1
