cycle,observed_self,observed_stability,observed_rigidity,observed_adaptive,deviation,observer_trust,alert
1,-0.002206,0.943669,0.805232,0.836403,0.002206,0.777897,False
2,-0.00073,0.944734,0.811123,0.836341,0.00073,0.777372,False
3,0.000709,0.945575,0.810517,0.83629,0.000709,0.777779,False
4,0.001967,0.944762,0.802613,0.836339,0.001967,0.778835,False
5,0.001524,0.944582,0.80786,0.83635,0.001524,0.777814,False
6,0.000168,0.944942,0.809143,0.836328,0.000168,0.777949,False
7,0.000342,0.944762,0.806666,0.836339,0.000342,0.77835,False
8,-0.003225,0.941541,0.799641,0.836521,0.003225,0.778096,False
9,-0.0047,0.943613,0.803726,0.836406,0.0047,0.777681,False
10,-0.0059,0.942777,0.802804,0.836453,0.0059,0.777344,False
11,-0.010053,0.938676,0.796678,0.836664,0.010053,0.776356,False
12,-0.006843,0.941862,0.801673,0.836503,0.006843,0.777074,False
13,-0.002429,0.94127,0.795345,0.836535,0.002429,0.779023,False
14,-0.001084,0.944519,0.809573,0.836354,0.001084,0.777539,False
15,-0.002916,0.943587,0.807392,0.836408,0.002916,0.777296,False
16,-0.00726,0.937133,0.786482,0.836735,0.00726,0.778432,False
17,-0.008415,0.941413,0.795172,0.836527,0.008415,0.777909,False
18,-0.011332,0.941245,0.798061,0.836536,0.011332,0.776691,False
19,-0.010959,0.941657,0.807602,0.836514,0.010959,0.774996,False
20,-0.00675,0.93754,0.806426,0.836717,0.00675,0.774683,False
21,-0.003287,0.942091,0.808877,0.836491,0.003287,0.776422,False
22,-0.003932,0.944328,0.813792,0.836365,0.003932,0.776061,False
23,0.000934,0.941438,0.800956,0.836526,0.000934,0.778257,False
24,0.012932,0.925681,0.759742,0.837111,0.012932,0.778731,False
25,-0.002783,0.916359,0.794215,0.837223,0.002783,0.770632,False
26,-0.004138,0.942182,0.814506,0.836486,0.004138,0.775156,False
27,-0.004994,0.945116,0.800725,0.836318,0.004994,0.778726,False
28,-0.025497,0.910417,0.770007,0.837204,0.025497,0.768846,False
29,-0.014611,0.931578,0.779331,0.83695,0.014611,0.776501,False
30,-0.009718,0.93878,0.795722,0.836659,0.009718,0.77665,False
31,-0.016325,0.935555,0.801652,0.836802,0.016325,0.773049,False
32,-0.021247,0.937073,0.78194,0.836738,0.021247,0.776523,False
33,0.002961,0.908327,0.775403,0.83718,0.002961,0.771537,False
34,-0.008712,0.935666,0.777362,0.836798,0.008712,0.779468,False
35,-0.000874,0.937349,0.78359,0.836726,0.000874,0.780361,False
36,-0.002077,0.941226,0.808294,0.836537,0.002077,0.776489,False
37,0.002949,0.940293,0.776791,0.836585,0.002949,0.782301,False
38,0.014472,0.915487,0.769142,0.837225,0.014472,0.773004,False
39,0.015248,0.943714,0.803845,0.836401,0.015248,0.775582,False
40,0.013914,0.93948,0.80421,0.836626,0.013914,0.77435,False
41,0.013139,0.943088,0.7739,0.836436,0.013139,0.781782,False
42,0.010238,0.939298,0.811671,0.836635,0.010238,0.773531,False
43,0.008588,0.940356,0.782685,0.836582,0.008588,0.780015,False
44,0.017093,0.933147,0.775836,0.836896,0.017093,0.77724,False
45,0.009174,0.938461,0.802677,0.836675,0.009174,0.77526,False
46,0.009707,0.945317,0.80899,0.836306,0.009707,0.776198,False
47,0.005714,0.937803,0.796865,0.836705,0.005714,0.776892,False
48,0.010024,0.935879,0.807482,0.836789,0.010024,0.773254,False
49,0.008475,0.938384,0.787424,0.836678,0.008475,0.778424,False
50,0.009453,0.940504,0.802593,0.836575,0.009453,0.775911,False
51,0.011993,0.941062,0.805401,0.836546,0.011993,0.775029,False
52,0.013741,0.936873,0.8014,0.836747,0.013741,0.774064,False
53,0.018636,0.932465,0.814888,0.83692,0.018636,0.768888,False
54,0.018193,0.939554,0.79651,0.836622,0.018193,0.775059,False
55,0.009986,0.933906,0.768864,0.836868,0.009986,0.780314,False
56,0.005012,0.932569,0.794861,0.836916,0.005012,0.775654,False
57,0.01,0.940039,0.806758,0.836598,0.01,0.774812,False
58,0.0116,0.936458,0.809769,0.836765,0.0116,0.772678,False
59,-0.004723,0.92235,0.718337,0.837171,0.004723,0.787503,False
60,0.000206,0.938061,0.779239,0.836693,0.000206,0.781606,False
61,-0.00407,0.934838,0.794446,0.836831,0.00407,0.776698,False
62,-0.002484,0.940496,0.813923,0.836575,0.002484,0.775036,False
63,-0.002575,0.94261,0.789519,0.836463,0.002575,0.78061,False
64,0.005157,0.929891,0.767827,0.837003,0.005157,0.780116,False
65,-0.000409,0.92014,0.777738,0.837199,0.000409,0.775719,False
66,-0.00836,0.924816,0.770103,0.837129,0.00836,0.777275,False
67,-0.01361,0.918417,0.763908,0.837213,0.01361,0.775246,False
68,-0.011367,0.93658,0.790946,0.836759,0.011367,0.77653,False
69,0.016374,0.903747,0.75658,0.837098,0.016374,0.770995,False
70,0.007168,0.932888,0.767106,0.836905,0.007168,0.780882,False
71,0.022847,0.914031,0.707945,0.837224,0.022847,0.783058,False
72,0.017723,0.939878,0.773549,0.836606,0.017723,0.779854,False
73,0.022757,0.933067,0.771535,0.836899,0.022757,0.77694,False
74,0.038756,0.908092,0.768512,0.837177,0.038756,0.765673,False
75,0.059241,0.902223,0.754375,0.837062,0.059241,0.76232,False
76,0.064224,0.919748,0.77179,0.837202,0.064224,0.764009,False
77,0.035575,0.90128,0.764456,0.837037,0.035575,0.764701,False
78,0.015024,0.916124,0.7806,0.837224,0.015024,0.770825,False
79,0.026281,0.933352,0.79338,0.836888,0.026281,0.771963,False
80,0.034492,0.928255,0.79417,0.837049,0.034492,0.768419,False
81,0.046143,0.917441,0.79936,0.837219,0.046143,0.761309,False
82,0.030461,0.90208,0.776367,0.837058,0.030461,0.763627,False
83,0.025782,0.921515,0.765667,0.837183,0.025782,0.773536,False
84,0.006596,0.926067,0.753294,0.837103,0.006596,0.781421,False
85,0.023859,0.911377,0.762847,0.837212,0.023859,0.770944,False
86,0.004306,0.90881,0.769113,0.837187,0.004306,0.772696,False
87,-0.009021,0.909679,0.789972,0.837197,0.009021,0.767888,False
88,-0.018384,0.928992,0.772745,0.837029,0.018384,0.776179,False
89,-0.047212,0.895289,0.762347,0.836836,0.047212,0.760648,False
90,-0.030793,0.914729,0.793901,0.837225,0.030793,0.764523,False
91,-0.035641,0.925017,0.782465,0.837125,0.035641,0.769416,False
92,-0.059535,0.889012,0.747283,0.83655,0.059535,0.758928,False
93,-0.055918,0.905792,0.732993,0.83714,0.055918,0.76853,False
94,-0.03422,0.898643,0.778707,0.836957,0.03422,0.761179,False
95,-0.013842,0.925281,0.762425,0.837119,0.013842,0.777875,False
96,-0.025818,0.911451,0.765073,0.837212,0.025818,0.770133,False
97,-0.040959,0.910924,0.758002,0.837208,0.040959,0.768333,False
98,-0.015312,0.903016,0.720971,0.837081,0.015312,0.778069,False
99,-0.021569,0.926347,0.783264,0.837096,0.021569,0.772529,False
100,-0.026225,0.925989,0.766325,0.837104,0.026225,0.774862,False
101,-0.023686,0.928263,0.795343,0.837049,0.023686,0.770348,False
102,-0.020888,0.917071,0.724394,0.837221,0.020888,0.781224,False
103,-0.015741,0.93302,0.776873,0.8369,0.015741,0.777259,False
104,-0.0232,0.923384,0.75916,0.837155,0.0232,0.776001,False
105,0.015683,0.897843,0.712099,0.836931,0.015683,0.777921,False
106,0.009118,0.937211,0.780109,0.836732,0.009118,0.779361,False
107,0.029562,0.898377,0.747617,0.836949,0.029562,0.768233,False
108,0.047161,0.91262,0.748231,0.837219,0.047161,0.769643,False
109,0.060284,0.910194,0.772265,0.837202,0.060284,0.761359,False
110,0.025297,0.8996,0.742138,0.836988,0.025297,0.77062,False
111,0.042496,0.889508,0.801076,0.836575,0.042496,0.751757,False
112,0.057896,0.893203,0.787916,0.83675,0.057896,0.752646,False
113,0.036944,0.909906,0.739295,0.837199,0.036944,0.772519,False
114,0.043848,0.921353,0.746422,0.837185,0.043848,0.773716,False
115,0.060861,0.888083,0.787251,0.8365,0.060861,0.750332,False
116,0.064679,0.907047,0.745659,0.837162,0.064679,0.764689,False
117,0.069972,0.918491,0.808315,0.837213,0.069972,0.755118,False
118,0.050717,0.916334,0.781968,0.837223,0.050717,0.763486,False
119,0.042106,0.921597,0.807064,0.837181,0.042106,0.76202,False
120,0.028147,0.908936,0.767096,0.837188,0.028147,0.768376,False
121,0.025404,0.924479,0.805813,0.837135,0.025404,0.766608,False
122,0.03104,0.911812,0.696192,0.837215,0.03104,0.782992,False
123,0.051003,0.883961,0.786346,0.836262,0.051003,0.750982,False
124,0.044023,0.923873,0.798811,0.837146,0.044023,0.764075,False
125,0.051043,0.919111,0.809792,0.837208,0.051043,0.758824,False
126,0.04849,0.923617,0.803604,0.837151,0.04849,0.762135,False
127,0.067045,0.904105,0.788852,0.837106,0.067045,0.754534,False
128,0.046743,0.909455,0.778939,0.837194,0.046743,0.762471,False
129,0.031476,0.917201,0.772058,0.83722,0.031476,0.769619,False
130,0.0239,0.920959,0.785942,0.837189,0.0239,0.769664,False
131,0.002463,0.919989,0.788345,0.8372,0.002463,0.773135,False
132,0.002883,0.941915,0.793636,0.836501,0.002883,0.779492,False
133,0.013356,0.917665,0.735807,0.837218,0.013356,0.780655,False
134,0.007003,0.932153,0.807088,0.836931,0.007003,0.772668,False
135,-0.023423,0.901724,0.748406,0.837049,0.023423,0.7705,False
136,-0.034227,0.899853,0.767235,0.836996,0.034227,0.763905,False
137,-0.018214,0.908868,0.79709,0.837187,0.018214,0.76434,False
138,0.006143,0.912672,0.734775,0.83722,0.006143,0.780557,False
139,0.013192,0.934735,0.782041,0.836836,0.013192,0.77732,False
140,0.029247,0.918136,0.746085,0.837215,0.029247,0.775585,False
141,0.012625,0.930824,0.775594,0.836975,0.012625,0.777388,False
142,0.010781,0.931986,0.803837,0.836936,0.010781,0.772505,False
143,0.024908,0.908104,0.787144,0.837177,0.024908,0.76472,False
144,0.006075,0.918687,0.777557,0.837211,0.006075,0.774117,False
145,0.003128,0.929714,0.706926,0.837009,0.003128,0.792641,False
146,-0.001948,0.91601,0.755703,0.837224,0.001948,0.778379,False
147,0.01593,0.875521,0.736927,0.835666,0.01593,0.764777,False
148,0.023204,0.915748,0.799037,0.837224,0.023204,0.76537,False
149,0.039065,0.898718,0.790449,0.83696,0.039065,0.757888,False
150,0.02433,0.923975,0.779084,0.837144,0.02433,0.771994,False
151,-0.0053,0.896495,0.764032,0.836883,0.0053,0.769128,False
152,-0.011249,0.912189,0.665471,0.837217,0.011249,0.793226,False
153,-0.024266,0.895096,0.778611,0.836829,0.024266,0.761915,False
154,-0.033772,0.889432,0.679431,0.836571,0.033772,0.777803,False
155,-0.034208,0.903579,0.761999,0.837095,0.034208,0.766285,False
156,-0.035797,0.92704,0.748034,0.83708,0.035797,0.776968,False
157,-0.030502,0.92215,0.821472,0.837174,0.030502,0.761651,False
158,0.002289,0.895091,0.742546,0.836829,0.002289,0.773522,False
159,-0.01877,0.885763,0.78972,0.83637,0.01877,0.757412,False
160,-0.01481,0.914987,0.778964,0.837225,0.01481,0.770797,False
161,-0.02832,0.882303,0.80114,0.836156,0.02832,0.751953,False
162,-0.046659,0.876252,0.741444,0.835724,0.046659,0.757999,False
163,-0.049187,0.927743,0.776913,0.837063,0.049187,0.768756,False
164,-0.074952,0.886886,0.772606,0.836435,0.074952,0.750007,False
165,-0.047137,0.88941,0.756799,0.83657,0.047137,0.759649,False
166,-0.032505,0.9206,0.754039,0.837194,0.032505,0.7742,False
167,-0.037236,0.895273,0.761228,0.836836,0.037236,0.762862,False
168,-0.060426,0.887223,0.795633,0.836453,0.060426,0.748429,False
169,-0.027612,0.894577,0.7063,0.836808,0.027612,0.775522,False
170,0.006671,0.899661,0.76163,0.83699,0.006671,0.770469,False
171,0.049508,0.872017,0.740384,0.835377,0.049508,0.756072,False
172,0.027026,0.9075,0.7728,0.837169,0.027026,0.766952,False
173,0.012572,0.931369,0.770052,0.836957,0.012572,0.778694,False
174,0.016161,0.936265,0.789356,0.836773,0.016161,0.775783,False
175,-0.000307,0.889642,0.792202,0.836582,0.000307,0.762018,False
176,-0.009993,0.923761,0.739966,0.837148,0.009993,0.782612,False
177,-0.030283,0.904926,0.815415,0.837124,0.030283,0.756865,False
178,-0.020782,0.928938,0.786668,0.837031,0.020782,0.772896,False
179,-0.007115,0.92253,0.754746,0.837168,0.007115,0.779805,False
180,0.00268,0.919474,0.780511,0.837205,0.00268,0.774479,False
181,0.008353,0.939577,0.77873,0.836621,0.008353,0.780591,False
182,0.013908,0.920568,0.768913,0.837194,0.013908,0.774933,False
183,0.000653,0.925839,0.784451,0.837108,0.000653,0.7763,False
184,0.019427,0.917063,0.779597,0.837221,0.019427,0.770473,False
185,0.020916,0.89586,0.658657,0.836859,0.020916,0.786851,False
186,0.003691,0.893974,0.772254,0.836783,0.003691,0.766898,False
187,-0.015772,0.894746,0.757422,0.836815,0.015772,0.767726,False
188,-0.002265,0.937507,0.788225,0.836718,0.002265,0.779209,False
189,0.003532,0.915763,0.719105,0.837224,0.003532,0.785296,False
190,0.029255,0.901696,0.782545,0.837048,0.029255,0.762496,False
191,0.038561,0.907805,0.773699,0.837173,0.038561,0.764573,False
192,0.034038,0.930259,0.788392,0.836992,0.034038,0.770353,False
193,0.057906,0.895185,0.799934,0.836832,0.057906,0.750955,False
194,0.045868,0.917776,0.776606,0.837217,0.045868,0.766031,False
195,0.035373,0.916673,0.819056,0.837222,0.035373,0.759255,False
196,0.018272,0.926942,0.732983,0.837082,0.018272,0.783449,False
197,0.01104,0.91595,0.731699,0.837224,0.01104,0.781341,False
198,-0.00141,0.918876,0.799883,0.83721,0.00141,0.770651,False
199,0.009406,0.920052,0.776942,0.837199,0.009406,0.774048,False
200,0.017333,0.936012,0.788648,0.836783,0.017333,0.775604,False
201,0.027459,0.934392,0.772779,0.836849,0.027459,0.776202,False
202,0.009549,0.902514,0.721938,0.837069,0.009549,0.77885,False
203,0.027089,0.900222,0.769333,0.837007,0.027089,0.765045,False
204,0.034406,0.900925,0.796181,0.837027,0.034406,0.758463,False
205,0.051193,0.882847,0.788725,0.836191,0.051193,0.750061,False
206,0.05469,0.871918,0.67174,0.835369,0.05469,0.768728,False
207,0.049031,0.90732,0.748591,0.837166,0.049031,0.767329,False
208,0.031159,0.915701,0.776359,0.837225,0.031159,0.768298,False
209,0.051558,0.901138,0.739406,0.837033,0.051558,0.766464,False
210,0.070354,0.877982,0.801155,0.835855,0.070354,0.741956,False
211,0.101687,0.872641,0.768124,0.835431,0.101687,0.74032,False
212,0.075144,0.897035,0.792022,0.836902,0.075144,0.749755,False
213,0.024626,0.85691,0.725493,0.833851,0.024626,0.758357,False
214,0.031932,0.918299,0.791187,0.837214,0.031932,0.766084,False
215,0.02509,0.910216,0.720838,0.837202,0.02509,0.778691,False
216,0.005472,0.899322,0.731606,0.836979,0.005472,0.776592,False
217,0.023911,0.903786,0.742285,0.837099,0.023911,0.772361,False
218,0.045976,0.900982,0.761516,0.837029,0.045976,0.763103,False
219,0.039028,0.910398,0.782871,0.837204,0.039028,0.76356,False
220,0.039845,0.920578,0.813327,0.837194,0.039845,0.760866,False
