cycle,trust,deviation,alert
1,0.777086,0.003936,False
2,0.777209,0.00346,False
3,0.775988,0.003843,False
4,0.778314,0.00046,False
5,0.778208,0.000117,False
6,0.778423,0.003093,False
7,0.77782,0.006564,False
8,0.773468,0.005106,False
9,0.775637,0.006871,False
10,0.777917,0.002923,False
11,0.776698,0.000474,False
12,0.777168,0.00137,False
13,0.777049,0.00089,False
14,0.777555,0.00133,False
15,0.77683,0.002531,False
16,0.777673,0.005909,False
17,0.779815,0.001456,False
18,0.771554,0.009338,False
19,0.776507,0.010282,False
20,0.775577,0.007999,False
21,0.776191,0.00552,False
22,0.777136,0.001751,False
23,0.775944,0.002948,False
24,0.776071,0.002997,False
25,0.777569,0.001001,False
26,0.777574,0.001882,False
27,0.770046,0.009655,False
28,0.773101,0.002097,False
29,0.770865,0.010058,False
30,0.776622,0.007364,False
31,0.774819,0.0142,False
32,0.773853,0.013225,False
33,0.774017,0.011209,False
34,0.775065,0.012605,False
35,0.776753,0.006865,False
36,0.775765,0.005834,False
37,0.774011,0.009102,False
38,0.777442,0.004725,False
39,0.77744,0.001877,False
40,0.778088,0.0,False
41,0.775303,0.004161,False
42,0.774544,0.002457,False
43,0.775892,0.001751,False
44,0.777121,0.002229,False
45,0.776956,0.001606,False
46,0.774857,0.00512,False
47,0.777576,0.002362,False
48,0.775867,0.004842,False
49,0.77589,0.004541,False
50,0.776171,0.006531,False
51,0.776797,0.00542,False
52,0.776254,0.007755,False
53,0.774868,0.008262,False
54,0.77604,0.00436,False
55,0.776996,0.006025,False
56,0.775345,0.004223,False
57,0.777601,0.00015,False
58,0.777529,0.001804,False
59,0.777579,0.000176,False
60,0.77667,0.001003,False
61,0.776851,0.003279,False
62,0.777094,0.002474,False
63,0.776782,0.004374,False
64,0.776077,0.007098,False
65,0.776392,0.004219,False
66,0.77587,0.005905,False
67,0.776675,0.001304,False
68,0.776831,0.004406,False
69,0.775124,0.006144,False
70,0.774952,0.005483,False
71,0.775471,0.007587,False
72,0.775931,0.00388,False
73,0.77659,0.002409,False
74,0.775863,0.003535,False
75,0.775205,0.002848,False
76,0.776408,0.001247,False
77,0.776411,0.00578,False
78,0.775487,0.005423,False
79,0.774773,0.005761,False
80,0.775361,0.002655,False
81,0.775786,0.003391,False
82,0.774933,0.003951,False
83,0.776305,0.003714,False
84,0.775199,0.00446,False
85,0.775946,0.002051,False
86,0.775011,0.001866,False
87,0.77664,0.000711,False
88,0.775201,0.000563,False
89,0.77672,0.000477,False
90,0.775873,0.001369,False
91,0.775053,0.002629,False
92,0.776811,0.003587,False
93,0.775589,0.005477,False
94,0.774242,0.003537,False
95,0.774866,0.002689,False
96,0.774842,0.000667,False
97,0.775091,0.002097,False
98,0.774626,0.005751,False
99,0.77455,0.006379,False
100,0.773828,0.007126,False
101,0.773377,0.004744,False
102,0.773114,0.003187,False
103,0.774223,0.001541,False
104,0.776068,0.001991,False
105,0.773816,0.003227,False
106,0.773899,0.006351,False
107,0.774009,0.007829,False
108,0.774581,0.005531,False
109,0.776728,0.001689,False
110,0.776058,0.001424,False
111,0.774378,0.005782,False
112,0.772786,0.002681,False
113,0.772974,0.003459,False
114,0.773895,0.002946,False
115,0.773191,0.001075,False
116,0.774132,0.002997,False
117,0.774351,0.001438,False
118,0.7751,0.001001,False
119,0.773652,0.001531,False
120,0.773411,0.000709,False
121,0.774015,0.000236,False
122,0.773887,0.000298,False
123,0.774999,0.002787,False
124,0.77478,0.000656,False
125,0.773683,0.000192,False
126,0.774744,0.004091,False
127,0.773607,0.002303,False
128,0.772527,0.00384,False
129,0.772267,0.001123,False
130,0.772951,6.6e-05,False
131,0.774421,0.004801,False
132,0.771538,0.006107,False
133,0.775333,0.002164,False
134,0.773204,0.001732,False
135,0.772257,0.001773,False
136,0.772135,0.000153,False
137,0.773143,0.001093,False
138,0.772838,0.00054,False
139,0.772857,0.000995,False
140,0.774243,6.4e-05,False
141,0.772777,0.000284,False
142,0.772651,0.001424,False
143,0.771664,0.001103,False
144,0.772363,0.000135,False
145,0.771956,0.000501,False
146,0.77088,0.001898,False
147,0.771326,0.003262,False
148,0.771044,0.002319,False
149,0.771496,0.002995,False
150,0.771519,0.004149,False
151,0.771481,0.00261,False
152,0.770838,0.001508,False
153,0.771265,0.001781,False
154,0.771871,0.000528,False
155,0.772234,0.000581,False
156,0.769549,0.004308,False
157,0.769448,0.004593,False
158,0.771184,0.004342,False
159,0.769706,0.004735,False
160,0.770001,0.007243,False
161,0.768952,0.007006,False
162,0.769904,0.005936,False
163,0.771395,0.001791,False
164,0.771341,0.003257,False
165,0.769898,0.004592,False
166,0.771888,0.000695,False
167,0.770904,0.001076,False
168,0.771033,0.002926,False
169,0.772724,0.003276,False
170,0.771306,0.000662,False
171,0.770607,0.000277,False
172,0.770937,0.002963,False
173,0.76948,0.008243,False
174,0.768483,0.010711,False
175,0.767517,0.007594,False
176,0.767542,0.007809,False
177,0.768015,0.007807,False
178,0.766238,0.008937,False
179,0.76833,0.007552,False
180,0.768555,0.008165,False
181,0.768977,0.004694,False
182,0.768536,0.01013,False
183,0.767024,0.008793,False
184,0.766931,0.008881,False
185,0.768041,0.007819,False
186,0.768831,0.007934,False
187,0.767849,0.008117,False
188,0.76686,0.010648,False
189,0.766333,0.008037,False
190,0.766858,0.006566,False
191,0.766806,0.007152,False
192,0.767106,0.004803,False
193,0.767164,0.005845,False
194,0.766976,0.005605,False
195,0.765837,0.007349,False
196,0.767581,0.005134,False
197,0.766696,0.00391,False
198,0.768778,0.00245,False
199,0.769357,0.002201,False
200,0.767762,0.003657,False
201,0.767208,0.003925,False
202,0.767782,0.001955,False
203,0.76848,0.00054,False
204,0.768057,0.00085,False
205,0.768371,0.002376,False
206,0.76753,0.004646,False
207,0.768756,0.000746,False
208,0.767994,0.000765,False
209,0.766756,0.003618,False
210,0.766908,0.001651,False
211,0.767601,0.000947,False
212,0.765839,0.001492,False
213,0.76698,0.005886,False
214,0.76619,0.005048,False
215,0.766987,0.005708,False
216,0.766366,0.006188,False
217,0.766186,0.004706,False
218,0.767161,0.005871,False
219,0.764794,0.006384,False
220,0.766739,0.000164,False
